id;character;meaning;on;kun
641;諦;Give Up;てい;あきら
642;勢;Force;せい, せ;いきお
643;姿;Figure;し;すがた
644;費;Expense;ひ;つい
645;各;Each;かく;おの
646;賀;Congratulations;が;None
647;状;Condition;じょう;None
648;誕;Birth;たん;None
649;態;Appearance;たい;わざ
650;援;Aid;えん;None
651;総;Whole;そう;None
652;解;Untie;かい;と
653;税;Tax;ぜい;None
654;務;Task;む;つと
655;派;Sect;は;None
656;権;Rights;けん;None
657;義;Righteousness;ぎ;None
658;資;Resources;し;None
659;認;Recognize;にん;みと
660;挙;Raise;きょ;あ
661;企;Plan;き;くわだ
662;際;Occasion;さい;きわ
663;件;Matter;けん;None
664;審;Judge;しん;None
665;判;Judge;はん;None
666;査;Inspect;さ;None
667;増;Increase;ぞう;ふ, ま
668;岡;Hill;None;おか
669;検;Examine;けん;None
670;評;Evaluate;ひょう;None
671;設;Establish;せつ;もう
672;羨;Envy;せん;うらや
673;敵;Enemy;てき;かな, かたき
674;素;Element;そ, す;None
675;任;Duty;にん;まか
676;断;Cut Off;だん;ことわ, た
677;批;Criticism;ひ;None
678;制;Control;せい;None
679;省;Conserve;しょう, せい;はぶ
680;委;Committee;い;None
681;済;Come To An End;さい;す
682;条;Clause;じょう;None
683;責;Blame;せき;せ
684;敷;Spread;ふ;しき, し
685;鋭;Sharp;えい;するど
686;獲;Seize;かく;え
687;犠;Sacrifice;ぎ;None
688;顧;Review;こ;かえり
689;駐;Resident;ちゅう;None
690;排;Reject;はい;None
691;褒;Praise;ほう;ほ
692;携;Portable;けい;たずさ
693;柱;Pillar;ちゅう;はしら
694;巡;Patrol;じゅん;めぐ
695;繁;Overgrown;はん;しげ
696;隣;Neighbor;りん;となり
697;殖;Multiply;しょく;ふ
698;殿;Milord;でん;との, どの
699;茂;Luxuriant;も;しげ
700;誉;Honor;よ;ほ
701;嬉;Glad;き;うれ
702;俊;Genius;しゅん;None
703;駆;Gallop;く;か
704;頻;Frequent;ひん;しき
705;孝;Filial Piety;こう;None
706;雅;Elegant;が;みや
707;剤;Dose;ざい;None
708;堀;Ditch;くつ;ほり
709;薄;Dilute;はく;うす
710;兼;Concurrently;けん;か
711;戒;Commandment;かい;いまし
712;衝;Collide;しょう;つ
713;唱;Chant;しょう;とな
714;吹;Blow;すい;ふ
715;敏;Alert;びん;None
716;祉;Welfare;し;None
717;壁;Wall;へき;かべ
718;甲;Turtle Shell;こう, かん;か
719;鋼;Steel;こう;はがね
720;奪;Rob;だつ;うば
721;稲;Rice Plant;None;いね, いな
722;拒;Refuse;きょ;こば
723;勧;Recommend;かん;すす
724;圏;Range;けん;None
725;隆;Prosperity;りゅう;None
726;斐;Patterned;い;None
727;項;Paragraph;こう;None
728;片;One Sided;へん;かた
729;阜;Mound;ふ;None
730;謙;Modesty;けん;None
731;躍;Leap;やく;おど
732;慎;Humility;しん;つつし
733;御;Honorable;ご;お
734;邦;Home Country;ほう;くに
735;仙;Hermit;せん;None
736;銃;Gun;じゅう;None
737;枠;Frame;None;わく
738;群;Flock;ぐん;む, むら
739;免;Excuse;めん;まぬか
740;雇;Employ;こ;やと
741;譲;Defer;じょう;ゆず
742;棋;Chess Piece;き;ご
743;埼;Cape;き;さい
744;鈴;Buzzer;りん;すず
745;埋;Bury;まい;う
746;岐;Branch Off;き, ぎ;None
747;渋;Bitter;じゅう;しぶ
748;充;Allocate;じゅう;あ, み
749;控;Abstain;こう;ひか
750;盤;Tray;ばん;None
751;緒;Together;しょ;お
752;称;Title;しょう;とな, たた, ほめ
753;懸;Suspend;けん;か
754;抑;Suppress;よく;おさ
755;繰;Spin;そう;く
756;還;Send Back;かん;かえ
757;択;Select;たく;えら
758;贈;Presents;ぞう;おく
759;娠;Pregnant;しん;None
760;妊;Pregnant;にん;None
761;奏;Play Music;そう;かな
762;緩;Loose;かん;ゆる
763;傾;Lean;けい;かたむ
764;膝;Knee;None;ひざ
765;併;Join;へい;あわ
766;奥;Interior;おう;おく
767;扱;Handle;きゅう;あつか
768;逃;Escape;とう;に, のが, の
769;刊;Edition;かん;None
770;描;Draw;びょう;か, えが
771;避;Dodge;ひ;さ, よ
772;致;Do;ち;いた
773;需;Demand;じゅ;None
774;却;Contrary;きゃく;かえって
775;託;Consign;たく;かこ
776;慮;Consider;りょ;おもんぱく, おもんぱか
777;房;Cluster;ぼう;ふさ
778;賂;Bribe;ろ;None
779;賄;Bribe;わい;まかな
780;宜;Best Regards;ぎ;よろ
781;齢;Age;れい;よわい
782;伴;Accompany;はん;ともな
783;削;Whittle Down;さく;けず
784;跡;Traces;せき;あと
785;執;Tenacious;しゅう, しつ;と
786;闘;Struggle;とう;たたか
787;串;Skewer;None;くし
788;昭;Shining;しょう;None
789;戻;Return;れい;もど
790;抵;Resist;てい;None
791;償;Reparation;しょう;つぐな
792;募;Recruit;ぼ;つの
793;刑;Punish;けい;None
794;契;Pledge;けい;None
795;兆;Omen;ちょう;きざ
796;臨;Look To;りん;のぞ
797;聴;Listen;ちょう;き
798;旬;In Season;しゅん, じゅん;None
799;抱;Hug;ほう;だ, かか, いだ
800;跳;Hop;ちょう;と, は
801;湾;Gulf;わん;None
802;香;Fragrance;こう, きょう;かお, か
803;漁;Fishing;ぎょ, りょう;あさ
804;恵;Favor;え, けい;めぐ
805;眉;Eyebrows;み;まゆ
806;爆;Explode;ばく;は
807;掲;Display;けい;かか
808;遣;Dispatch;けん;つか, や
809;崩;Crumble;ほう;くず
810;抗;Confront;こう;あらが
811;葬;Burial;そう;ほうむ
812;弾;Bullet;だん;ひ, はず, たま
813;塁;Base;るい;None
814;陣;Army Base;じん;None
815;狙;Aim;そ;ねら
816;患;Afflicted;かん;わずら
817;幅;Width;ふく;はば
818;超;Ultra;ちょう;こ
819;頼;Trust;らい;たの, たよ
820;貿;Trade;ぼう;None
821;甘;Sweet;かん;あま
822;姓;Surname;せい, しょう;None
823;伸;Stretch;しん;の
824;踏;Step;とう;ふ
825;縄;Rope;じょう;なわ
826;依;Reliant;い;よ
827;及;Reach;きゅう;およ
828;摘;Pluck;てき;つ
829;沖;Open Sea;ちゅう;おき
830;献;Offer;けん, こん;たてまつ
831;廃;Obsolete;はい;すた
832;核;Nucleus;かく;None
833;奈;Nara;な;None
834;維;Maintain;い;None
835;遺;Leave Behind;い;のこ
836;継;Inherit;けい;つ
837;療;Heal;りょう;None
838;津;Haven;しん;つ
839;般;Generally;はん;None
840;旧;Former;きゅう;None
841;牙;Fang;げ, が;きば
842;換;Exchange;かん;か
843;鹿;Deer;ろく;か, しか
844;伎;Deed;き;わざ
845;債;Debt;さい;None
846;舞;Dance;ぶ;まい, ま
847;将;Commander;しょう;None
848;盟;Alliance;めい;None
849;諾;Agreement;だく;None
850;酢;Vinegar;さく;す
851;厄;Unlucky;やく;None
852;亀;Turtle;き;かめ
853;破;Tear;は;やぶ
854;剣;Sword;けん;つるぎ
855;滞;Stagnate;たい;とどこお
856;醤;Soy Sauce;しょう;None
857;汁;Soup;じゅう;しる
858;遅;Slow;ち;おそ, おく
859;恥;Shame;ち;は, はじ
860;為;Sake;い;ため, な, す
861;獄;Prison;ごく;None
862;鍋;Pot;か;なべ
863;払;Pay;ふつ;はら
864;己;Oneself;こ, き;おのれ
865;油;Oil;ゆ;あぶら
866;互;Mutual;ご;たが
867;測;Measure;そく;はか
